Date,Open,High,Low,Close,Adj Close,Volume
2024-09-19,218.00999450683594,218.47999572753906,210.3699951171875,213.88999938964844,202.7423553466797,5279600
2024-09-20,214.3300018310547,217.85000610351562,213.74000549316406,217.6999969482422,206.35379028320312,9958800
2024-09-23,218.0,220.6199951171875,217.27000427246094,220.5,209.00784301757812,4074800
2024-09-24,219.77999877929688,221.19000244140625,218.16000366210938,220.97000122070312,209.453369140625,3183900
2024-09-25,221.1699981689453,221.85000610351562,220.16000366210938,221.22999572753906,209.6998291015625,2537800
2024-09-26,222.11000061035156,224.0,221.36000061035156,223.42999267578125,211.78517150878906,2673200
2024-09-27,223.0,224.14999389648438,220.77000427246094,220.83999633789062,209.33013916015625,3830300
2024-09-30,220.64999389648438,221.32000732421875,219.02000427246094,221.0800018310547,209.55763244628906,3543400
2024-10-01,220.6300048828125,221.10000610351562,215.89999389648438,219.35000610351562,207.9178009033203,3548400
2024-10-02,218.30999755859375,220.1999969482422,215.8000030517578,219.72999572753906,208.27796936035156,3343400
2024-10-03,219.5,222.8300018310547,219.27000427246094,222.72000122070312,211.11216735839844,3788300
2024-10-04,223.75,226.0800018310547,223.27000427246094,226.0,214.22122192382812,3553800
2024-10-07,225.3800048828125,227.6699981689453,225.02000427246094,227.1199951171875,215.2828369140625,3458000
2024-10-08,228.11000061035156,229.35000610351562,227.0399932861328,228.6199951171875,216.7046661376953,3245100
2024-10-09,229.1999969482422,234.9499969482422,228.5,234.3000030517578,222.08865356445312,5083600
2024-10-10,235.10000610351562,235.8300018310547,231.80999755859375,233.02000427246094,220.8753204345703,3142000
2024-10-11,233.25,233.44000244140625,230.4600067138672,233.25999450683594,221.10281372070312,3469200
2024-10-14,233.57000732421875,236.1199951171875,233.1699981689453,235.25999450683594,222.9985809326172,2524400
2024-10-15,236.39999389648438,237.3699951171875,232.7100067138672,232.9600067138672,220.81846618652344,3350600
2024-10-16,232.11000061035156,233.8800048828125,231.1199951171875,233.6699981689453,221.491455078125,2846700
2024-10-17,232.0,233.14999389648438,230.66000366210938,232.8800048828125,220.74264526367188,5040100
2024-10-18,231.9199981689453,232.64999389648438,230.1699981689453,232.1999969482422,220.0980682373047,4715700
2024-10-21,231.2100067138672,232.4199981689453,230.25999450683594,231.75,219.67153930664062,2733300
2024-10-22,231.99000549316406,232.97000122070312,230.6699981689453,232.25,220.14547729492188,3180800
2024-10-23,230.41000366210938,233.33999633789062,230.25999450683594,232.75,220.61941528320312,5791000
2024-10-24,220.8000030517578,221.32000732421875,216.16000366210938,218.38999938964844,207.00784301757812,11193400
2024-10-25,216.8000030517578,218.64999389648438,214.38999938964844,214.6699981689453,203.481689453125,8482200
2024-10-28,215.5,216.25,212.6999969482422,212.91000366210938,201.81346130371094,4993300
2024-10-29,211.99000549316406,213.33999633789062,209.85000610351562,210.42999267578125,199.4626922607422,5258400
2024-10-30,209.47999572753906,211.1199951171875,204.25999450683594,204.89999389648438,194.22091674804688,6956600
2024-10-31,204.1300048828125,208.1300048828125,203.50999450683594,206.72000122070312,195.94606018066406,5925300
2024-11-01,207.77000427246094,209.83999633789062,207.41000366210938,208.25,197.3963165283203,3334100
2024-11-04,207.64999389648438,207.6999969482422,205.8000030517578,206.32000732421875,195.56692504882812,2593900
2024-11-05,206.1699981689453,208.1199951171875,205.57000732421875,207.57000732421875,196.75177001953125,2441500
2024-11-06,213.47999572753906,214.3300018310547,210.3699951171875,213.60000610351562,202.46746826171875,3934400
2024-11-07,213.63999938964844,214.52000427246094,211.92999267578125,213.69000244140625,202.5527801513672,3675800
2024-11-08,214.16000366210938,216.6999969482422,212.77999877929688,213.72000122070312,202.58120727539062,3201000
2024-11-11,214.39999389648438,215.41000366210938,213.47999572753906,213.57000732421875,202.4390411376953,3013000
2024-11-12,211.89999389648438,213.02999877929688,209.05999755859375,210.86000061035156,201.4454803466797,2817800
2024-11-13,209.5,211.41000366210938,209.07000732421875,210.9199981689453,201.50282287597656,3247800
2024-11-14,210.0,210.5,206.35000610351562,208.99000549316406,199.65899658203125,6372900
2024-11-15,207.4600067138672,208.49000549316406,204.07000732421875,204.99000549316406,195.8376007080078,3986500
2024-11-18,207.0,208.4199981689453,205.3699951171875,208.08999633789062,198.79916381835938,3405900
2024-11-19,206.5,210.3300018310547,206.19000244140625,210.25,200.86273193359375,2860700
2024-11-20,211.0,214.9600067138672,209.77000427246094,214.60000610351562,205.01849365234375,4562900
2024-11-21,215.80999755859375,222.6300048828125,215.27000427246094,222.39999389648438,212.47023010253906,5236400
2024-11-22,223.35000610351562,227.1999969482422,220.88999938964844,222.97000122070312,213.01480102539062,5320700
2024-11-25,223.35000610351562,226.4199981689453,222.64999389648438,226.1300048828125,216.03369140625,7189300
2024-11-26,226.72999572753906,228.97999572753906,225.50999450683594,228.8300018310547,218.61314392089844,4449500
