date,close,one_day_return_pct,mean_close_prior_20d,mean_close_next_20d,level_shift_pct,in_training_window,event
2025-01-30,258.27,12.96,222.58,258.54,16.15,True,
2025-07-24,260.51,-7.62,287.37,248.4,-13.56,True,
2025-09-18,265.0,2.29,248.84,280.24,12.62,True,
2026-02-11,272.81,-6.5,298.36,250.11,-16.17,True,
2026-07-14,217.07,-25.21,277.45,221.51,-20.16,False,
