date,close,one_day_return_pct,mean_close_prior_20d,mean_close_next_20d,level_shift_pct,in_training_window,event
2024-11-07,296.91,2.9,239.98,338.43,41.02,True,
2025-02-25,302.8,-8.39,367.21,259.22,-29.41,True,
2025-05-12,318.38,6.75,267.25,336.3,25.83,True,
2025-09-12,395.94,7.36,340.26,431.84,26.92,True,
2026-01-29,416.56,-3.45,439.86,414.55,-5.75,True,
2026-05-04,392.51,0.43,372.59,422.65,13.44,False,
