ticker,family,model,variant,protocol,n_runs,MSE,RMSE,MAE,MSE_std,RMSE_std,MAE_std
TSLA,Time Series Analysis,PROPHET,baseline,paper,1,4265.780486371983,65.31294271713672,59.51236669844832,0.0,0.0,0.0
TSLA,Time Series Analysis,PROPHET,baseline,one_step,1,4265.780486371983,65.31294271713672,59.51236669844832,0.0,0.0,0.0
TSLA,Time Series Analysis,ARIMA,baseline,paper,1,1386.113013572581,37.23053872256727,31.211234598554054,0.0,0.0,0.0
TSLA,Time Series Analysis,ARIMA,baseline,one_step,1,241.36539228143087,15.535938731902585,12.043266098749864,0.0,0.0,0.0
TSLA,Time Series Analysis,SARIMA,baseline,paper,1,1390.764938006816,37.292960971298804,31.282254544870675,0.0,0.0,0.0
TSLA,Time Series Analysis,SARIMA,baseline,one_step,1,241.32255028876844,15.534559867880661,12.040483392935739,0.0,0.0,0.0
TSLA,Deep Learning,RNN,baseline,paper,3,184.04289503686928,13.563980105274096,10.28547371338696,6.761739676534069,0.24766659160623028,0.17626474641889345
TSLA,Deep Learning,RNN,baseline,one_step,3,184.04289503686928,13.563980105274096,10.28547371338696,6.761739676534069,0.24766659160623028,0.17626474641889345
TSLA,Deep Learning,MLP,baseline,paper,3,159.81845952709062,12.640805212964908,9.644335353335139,4.285990321122736,0.16882859642205963,0.15466999064091372
TSLA,Deep Learning,MLP,baseline,one_step,3,159.81845952709062,12.640805212964908,9.644335353335139,4.285990321122736,0.16882859642205963,0.15466999064091372
TSLA,Deep Learning,LSTM,baseline,paper,3,161.07085787411168,12.691027400009991,9.668723632006756,2.368343564934653,0.0931740645636572,0.1923815587643348
TSLA,Deep Learning,LSTM,baseline,one_step,3,161.07085787411168,12.691027400009991,9.668723632006756,2.368343564934653,0.0931740645636572,0.1923815587643348
TSLA,Time Series Analysis,PROPHET,intervention,paper,1,1546.8956589519184,39.33059443934096,34.22065506495097,0.0,0.0,0.0
TSLA,Time Series Analysis,PROPHET,intervention,one_step,1,1546.8956589519184,39.33059443934096,34.22065506495097,0.0,0.0,0.0
TSLA,Time Series Analysis,ARIMA,intervention,paper,1,1377.977736212335,37.12112250743955,31.097723567110222,0.0,0.0,0.0
TSLA,Time Series Analysis,ARIMA,intervention,one_step,1,153.34063701664624,12.383078656644567,9.270771935687339,0.0,0.0,0.0
TSLA,Time Series Analysis,SARIMA,intervention,paper,1,1379.0441909803335,37.135484256709695,31.124797396319014,0.0,0.0,0.0
TSLA,Time Series Analysis,SARIMA,intervention,one_step,1,156.24245495003024,12.499698194357743,9.384757565060557,0.0,0.0,0.0
TSLA,Deep Learning,RNN,intervention,paper,3,230.06208814789088,15.090488256110334,11.89725295466559,46.64689130498365,1.5294614542664917,1.2967146744019729
TSLA,Deep Learning,RNN,intervention,one_step,3,230.06208814789088,15.090488256110334,11.89725295466559,46.64689130498365,1.5294614542664917,1.2967146744019729
TSLA,Deep Learning,MLP,intervention,paper,3,205.30147514681622,14.31372598223575,11.474010102426263,18.804128862880624,0.6470885969366292,0.6406896393387467
TSLA,Deep Learning,MLP,intervention,one_step,3,205.30147514681622,14.31372598223575,11.474010102426263,18.804128862880624,0.6470885969366292,0.6406896393387467
TSLA,Deep Learning,LSTM,intervention,paper,3,203.8672325962559,14.259129561251322,11.440504621751243,20.733521695850804,0.7378731271055976,0.7216097798285781
TSLA,Deep Learning,LSTM,intervention,one_step,3,203.8672325962559,14.259129561251322,11.440504621751243,20.733521695850804,0.7378731271055976,0.7216097798285781
